,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
30,GRZ,2025-02-12,2026-12-16,672,Wednesday,170170,EUR,80773,499998,138618,0.16154664618658474,1.7161427704802348,0.2772371089484358,30-45,M,kerrihall,moorecrystal@example.org,Lydia Snyder,F,79
31,GRZ,2025-04-19,2026-01-28,284,Saturday,926969,GBP,3719,499998,120531,0.007438029752119008,32.40951868781931,0.241062964251857,40-55,A,kerrihall,moorecrystal@example.org,Lydia Snyder,F,79
32,KTR,2025-03-14,2026-11-02,598,Friday,43613,USD,65979,499999,39188,0.13195826391652785,0.5939465587535427,0.0783761567523135,25-45,M,kerrihall,moorecrystal@example.org,Lydia Snyder,F,79
33,KTR,2025-04-04,2027-03-31,726,Friday,226625,USD,24472,500001,212549,0.04894390211219578,8.685395554102648,0.4250971498057004,40-55,A,kerrihall,moorecrystal@example.org,Lydia Snyder,F,79
34,KTR,2025-03-31,2026-05-14,409,Monday,381990,EUR,24908,499999,58880,0.04981609963219927,2.3638991488678336,0.11776023552047105,20-40,A,christopherwilliams,jameshowell@example.org,Michael Hall,O,57
35,AKX,2024-07-07,2025-09-17,437,Sunday,415719,GBP,54401,500000,174368,0.108802,3.205235197882392,0.348736,25-35,M,christopherwilliams,jameshowell@example.org,Michael Hall,O,57
36,GRZ,2025-01-17,2025-12-03,320,Friday,521154,EUR,40782,500001,24977,0.08156383687232625,0.6124515717718602,0.04995390009219981,35-60,A,christopherwilliams,jameshowell@example.org,Michael Hall,O,57
37,GRZ,2025-04-20,2026-11-23,582,Sunday,88321,EUR,28763,499999,84211,0.057526115052230105,2.927754406703056,0.1684223368446737,45-65,F,christopherwilliams,jameshowell@example.org,Michael Hall,O,57
38,GRZ,2024-04-18,2024-08-04,108,Thursday,293581,USD,48528,499997,66385,0.09705658233949403,1.3679731289152655,0.13277079662477975,35-45,F,christopherwilliams,jameshowell@example.org,Michael Hall,O,57
39,KTR,2023-10-27,2025-09-27,701,Friday,569930,EUR,23336,500000,257477,0.046672,11.033467603702434,0.514954,40-60,M,aallen,rayjessica@example.org,Jennifer Peterson,F,49
40,BYU,2025-03-04,2026-01-16,318,Tuesday,97892,GBP,15122,499998,70321,0.030244120976483907,4.650244676630075,0.1406425625702503,45-70,F,aallen,rayjessica@example.org,Jennifer Peterson,F,49
41,AKX,2024-09-17,2026-07-13,664,Tuesday,892740,EUR,40678,500001,846036,0.08135583728832542,20.798367668026945,1.6920686158627682,20-30,F,aallen,rayjessica@example.org,Jennifer Peterson,F,49
42,KTR,2024-07-31,2025-11-25,482,Wednesday,538734,GBP,19772,500001,148520,0.03954392091215818,7.5116326117742265,0.29703940592118816,40-65,A,aallen,rayjessica@example.org,Jennifer Peterson,F,49
43,BYU,2024-08-23,2025-04-12,232,Friday,406230,USD,26612,499997,263388,0.05322431934591607,9.897339546069443,0.526779160674964,30-45,F,nrobinson,tstone@example.org,Deborah Carrillo,F,69
44,GRZ,2024-11-13,2026-07-13,607,Wednesday,850943,EUR,15017,500002,486978,0.030033879864480542,32.428447759206236,0.9739521041915832,35-50,A,nrobinson,tstone@example.org,Deborah Carrillo,F,69
45,GRZ,2024-01-19,2024-04-15,87,Friday,845550,EUR,83022,499999,758445,0.16604433208866418,9.135470116354702,1.5168930337860675,40-65,M,nrobinson,tstone@example.org,Deborah Carrillo,F,69
46,KTR,2024-02-21,2025-11-27,645,Wednesday,77652,USD,41725,500001,55789,0.0834498331003338,1.3370641102456562,0.11157777684444631,40-50,A,nrobinson,tstone@example.org,Deborah Carrillo,F,69
47,GRZ,2024-06-27,2026-04-10,652,Thursday,316823,EUR,30598,499999,20545,0.061196122392244784,0.6714491143211975,0.04109008218016436,45-55,F,nrobinson,tstone@example.org,Deborah Carrillo,F,69
48,KTR,2024-08-02,2024-11-14,104,Friday,606256,EUR,18354,499999,570179,0.03670807341614683,31.065653263593767,1.1403602807205615,25-50,A,nrobinson,tstone@example.org,Deborah Carrillo,F,69
49,GRZ,2025-07-03,2027-02-04,581,Thursday,24201,EUR,45217,500003,8567,0.09043345739925561,0.1894641395935157,0.01713389719661682,30-50,F,nrobinson,tstone@example.org,Deborah Carrillo,F,69
50,GRZ,2024-01-12,2025-04-05,449,Friday,943963,EUR,31689,500000,120892,0.063378,3.8149515604783995,0.241784,20-35,A,aguilarnathan,patriciacox@example.net,Mrs. Carla Strickland,F,87
51,BYU,2025-01-14,2025-10-03,262,Tuesday,508055,USD,21945,499999,298176,0.04389008778017556,13.587423103212577,0.5963531927063854,35-40,A,aguilarnathan,patriciacox@example.net,Mrs. Carla Strickland,F,87
52,KTR,2025-06-16,2027-03-24,646,Monday,726019,USD,57901,499999,440246,0.11580223160446321,7.603426538401755,0.880493760987522,40-60,M,aguilarnathan,patriciacox@example.net,Mrs. Carla Strickland,F,87
53,KTR,2025-01-25,2026-12-17,691,Saturday,742480,GBP,48088,500000,524770,0.096176,10.912701713525204,1.04954,25-45,M,aguilarnathan,patriciacox@example.net,Mrs. Carla Strickland,F,87
54,AKX,2024-01-08,2025-04-15,463,Monday,882410,USD,35903,499998,403017,0.0718062872251489,11.225162242709523,0.8060372241488966,30-40,F,aguilarnathan,patriciacox@example.net,Mrs. Carla Strickland,F,87
55,KTR,2024-02-16,2024-08-24,190,Friday,768930,GBP,42883,499999,404095,0.08576617153234306,9.423198003870997,0.8081916163832328,35-40,M,aguilarnathan,patriciacox@example.net,Mrs. Carla Strickland,F,87
56,AKX,2025-01-03,2025-10-27,297,Friday,130833,GBP,84601,500000,6454,0.169202,0.07628751433198189,0.012908,45-65,A,aguilarnathan,patriciacox@example.net,Mrs. Carla Strickland,F,87
57,KTR,2024-06-25,2024-09-03,70,Tuesday,847396,GBP,22391,499999,790871,0.04478208956417913,35.320932517529364,1.581745163490327,45-70,M,aguilarnathan,patriciacox@example.net,Mrs. Carla Strickland,F,87
58,GRZ,2024-05-04,2025-09-23,507,Saturday,321092,GBP,29141,500002,45036,0.05828176687293251,1.5454514258261556,0.09007163971344115,25-40,A,paulshields,ysmith@example.com,Charlene Steele,F,78
59,BYU,2024-01-11,2025-01-21,376,Thursday,903808,EUR,26432,499999,773821,0.05286410572821146,29.275915556900728,1.5476450952901906,45-55,F,paulshields,ysmith@example.com,Charlene Steele,F,78
60,AKX,2024-11-24,2025-03-04,100,Sunday,822948,EUR,68145,500000,457218,0.13629,6.709487123046445,0.914436,20-35,M,paulshields,ysmith@example.com,Charlene Steele,F,78
61,GRZ,2024-10-01,2025-06-14,256,Tuesday,870217,USD,32952,500003,616721,0.06590360457837253,18.715738043214373,1.2334345993924036,35-40,M,paulshields,ysmith@example.com,Charlene Steele,F,78
62,BYU,2025-01-19,2026-04-14,450,Sunday,43263,GBP,29783,500002,26936,0.05956576173695305,0.9044085552160629,0.053871784512861946,30-50,A,paulshields,ysmith@example.com,Charlene Steele,F,78
63,KTR,2025-07-12,2027-04-16,643,Saturday,955194,GBP,50595,500000,296216,0.10119,5.854649668939619,0.592432,30-55,A,paulshields,ysmith@example.com,Charlene Steele,F,78
64,BYU,2023-12-25,2024-05-06,133,Monday,673446,GBP,37595,500001,574527,0.07518984962030076,15.282005585849182,1.1490517018965962,35-45,F,paulshields,ysmith@example.com,Charlene Steele,F,78
65,KTR,2024-02-04,2025-04-26,447,Sunday,689047,USD,5374,500000,199875,0.010748,37.19296613323409,0.39975,20-25,A,sandersjonathan,abrown@example.net,Christina Baird,F,32
66,KTR,2025-04-08,2026-08-05,484,Tuesday,312243,USD,46375,499998,51781,0.092750371001484,1.1165714285714285,0.103562414249657,45-70,F,sandersjonathan,abrown@example.net,Christina Baird,F,32
67,AKX,2025-05-16,2027-02-05,630,Friday,248139,USD,47722,500000,2821,0.095444,0.05911319726750765,0.005642,40-45,M,sandersjonathan,abrown@example.net,Christina Baird,F,32
68,GRZ,2024-11-24,2025-04-14,141,Sunday,612787,EUR,51318,500001,345155,0.10263579472841054,6.725807708796134,0.6903086193827612,35-60,A,nelsonheather,zmurphy@example.com,Nathan Wade,M,77
69,BYU,2023-12-17,2024-06-22,188,Sunday,472526,EUR,16621,499999,400415,0.03324206648413297,24.09090909090909,0.8008316016632033,35-45,M,nelsonheather,zmurphy@example.com,Nathan Wade,M,77
70,GRZ,2024-11-11,2026-03-09,483,Monday,381977,EUR,26053,500001,289459,0.05210589578820842,11.110390358116147,0.5789168421663157,45-55,F,nelsonheather,zmurphy@example.com,Nathan Wade,M,77
71,AKX,2024-08-10,2025-01-26,169,Saturday,360699,GBP,61951,499996,214271,0.1239029912239298,3.458717373408016,0.4285454283634269,30-35,A,nelsonheather,zmurphy@example.com,Nathan Wade,M,77
72,AKX,2025-07-24,2026-10-03,436,Thursday,495693,USD,22500,499998,211102,0.04500018000072,9.382311111111111,0.4222056888227553,25-30,F,nelsonheather,zmurphy@example.com,Nathan Wade,M,77
73,GRZ,2023-12-11,2025-06-27,564,Monday,552122,USD,11575,499998,129304,0.0231500926003704,11.17097192224622,0.25860903443613775,25-45,M,nelsonheather,zmurphy@example.com,Nathan Wade,M,77
74,KTR,2024-04-07,2024-11-11,218,Sunday,901880,EUR,55739,500001,794958,0.1114777770444459,14.262150379447066,1.5899128201743598,25-45,A,jason61,samuelterry@example.com,Rachel George,F,23
75,GRZ,2024-11-19,2026-01-28,435,Tuesday,874503,EUR,79550,500000,559197,0.1591,7.029503456945317,1.118394,30-45,M,jason61,samuelterry@example.com,Rachel George,F,23
76,AKX,2024-12-26,2026-11-02,676,Thursday,618597,GBP,65212,500000,3670,0.130424,0.056277985646813466,0.00734,20-25,M,jason61,samuelterry@example.com,Rachel George,F,23
77,KTR,2025-06-13,2026-12-15,550,Friday,71690,USD,93171,499999,32310,0.18634237268474538,0.346781723926973,0.06462012924025848,25-40,F,jason61,samuelterry@example.com,Rachel George,F,23
78,KTR,2024-05-23,2025-01-07,229,Thursday,174673,USD,39957,499999,25231,0.07991415982831966,0.6314538128488125,0.05046210092420185,25-40,F,jason61,samuelterry@example.com,Rachel George,F,23
79,KTR,2023-11-17,2024-06-14,210,Friday,630331,EUR,51023,499997,413934,0.10204661227967368,8.112694275130824,0.8278729672378035,35-60,M,jason61,samuelterry@example.com,Rachel George,F,23
80,BYU,2025-01-25,2026-08-21,573,Saturday,857337,USD,74856,500000,175860,0.149712,2.349310676498878,0.35172,35-60,A,kelly09,unguyen@example.net,Stacey Robinson,F,28
81,KTR,2025-05-02,2025-11-15,197,Friday,616753,GBP,68834,500002,342670,0.13766744933020267,4.9782084435017575,0.6853372586509654,35-60,A,kelly09,unguyen@example.net,Stacey Robinson,F,28
82,AKX,2025-04-26,2026-05-05,374,Saturday,331682,EUR,63431,499999,88187,0.12686225372450746,1.3902823540540115,0.1763743527487055,45-65,F,kelly09,unguyen@example.net,Stacey Robinson,F,28
83,GRZ,2023-08-21,2024-09-10,386,Monday,321931,EUR,54617,499999,278642,0.10923421846843694,5.1017448779683985,0.5572851145702291,20-35,F,kelly09,unguyen@example.net,Stacey Robinson,F,28
84,KTR,2025-02-28,2027-01-03,674,Friday,296298,EUR,85932,499999,291282,0.17186434372868745,3.3896802122608576,0.5825651651303303,30-55,M,kelly09,unguyen@example.net,Stacey Robinson,F,28
85,AKX,2024-06-13,2025-07-19,401,Thursday,630253,USD,20903,500001,87823,0.041805916388167226,4.201454336698082,0.17564564870870258,35-45,M,kelly09,unguyen@example.net,Stacey Robinson,F,28
86,GRZ,2025-01-29,2025-08-04,187,Wednesday,108523,EUR,23938,500001,106721,0.047875904248191506,4.458225415657115,0.21344157311685377,40-45,A,kelly09,unguyen@example.net,Stacey Robinson,F,28
87,GRZ,2023-12-08,2024-04-16,130,Friday,615591,EUR,33822,499999,100587,0.06764413528827058,2.974010998758205,0.2011744023488047,25-50,A,emily75,hughesandrew@example.org,Stacey Hall,F,26
88,KTR,2023-10-19,2024-10-14,361,Thursday,878470,EUR,56051,500001,761816,0.11210177579644841,13.5914791885961,1.5236289527420945,40-65,F,emily75,hughesandrew@example.org,Stacey Hall,F,26
89,AKX,2024-03-04,2024-06-11,99,Monday,827319,GBP,71178,499999,826644,0.14235628471256942,11.613757059765659,1.6532913065826131,30-40,A,emily75,hughesandrew@example.org,Stacey Hall,F,26
90,BYU,2024-11-04,2024-11-17,13,Monday,46612,USD,30015,500002,37997,0.06002975988096047,1.2659336998167583,0.0759936960252159,20-45,A,emily75,hughesandrew@example.org,Stacey Hall,F,26
91,AKX,2024-07-15,2025-07-28,378,Monday,587198,EUR,23133,499996,307356,0.04626637013096105,13.286473868499547,0.6147169177353419,20-45,A,emily75,hughesandrew@example.org,Stacey Hall,F,26
92,AKX,2023-09-28,2024-08-24,331,Thursday,845815,USD,28803,499999,611683,0.05760611521223043,21.236780890879423,1.2233684467368935,45-70,A,emily75,hughesandrew@example.org,Stacey Hall,F,26
93,AKX,2025-03-19,2026-04-23,400,Wednesday,324660,EUR,58304,499997,261826,0.11660869965219792,4.490703896816685,0.5236551419308516,40-55,A,emily75,hughesandrew@example.org,Stacey Hall,F,26
94,AKX,2023-11-22,2024-03-03,102,Wednesday,942333,GBP,32791,500000,682024,0.065582,20.799121710225368,1.364048,45-60,A,petersmith,tammygreene@example.com,Sydney Randolph,O,19
95,AKX,2023-08-18,2025-01-08,509,Friday,652268,EUR,23447,500000,24597,0.046894,1.0490467863692583,0.049194,30-40,F,petersmith,tammygreene@example.com,Sydney Randolph,O,19
96,AKX,2024-05-01,2026-04-01,700,Wednesday,267400,GBP,17410,500000,8535,0.03482,0.490235496840896,0.01707,45-50,F,michael02,joshua21@example.org,Christopher Frank,M,31
97,AKX,2025-07-20,2027-02-23,583,Sunday,30780,GBP,49339,499999,18422,0.09867819735639471,0.3733760311315592,0.03684407368814738,45-50,A,michael02,joshua21@example.org,Christopher Frank,M,31
98,BYU,2024-10-12,2026-05-01,566,Saturday,579140,GBP,14540,500000,140943,0.02908,9.693466299862449,0.281886,20-45,M,michael02,joshua21@example.org,Christopher Frank,M,31
99,BYU,2024-12-30,2025-08-13,226,Monday,114268,USD,57903,500000,32432,0.115806,0.560109148057959,0.064864,25-35,F,michael02,joshua21@example.org,Christopher Frank,M,31
100,BYU,2023-12-21,2024-11-06,321,Thursday,624696,EUR,38459,500001,365192,0.07691784616430768,9.495618710834915,0.7303825392349216,35-40,F,michael02,joshua21@example.org,Christopher Frank,M,31
101,BYU,2024-04-25,2025-04-03,343,Thursday,474843,USD,48201,499997,470129,0.0964025784154705,9.753511337939047,0.9402636415818495,25-45,M,michael02,joshua21@example.org,Christopher Frank,M,31
102,BYU,2024-02-15,2025-04-19,429,Thursday,683551,USD,34062,500002,596034,0.06812372750508998,17.49850273031531,1.192063231747073,25-30,M,michael02,joshua21@example.org,Christopher Frank,M,31
103,AKX,2024-02-05,2024-12-08,307,Monday,389321,USD,65427,500002,234133,0.13085347658609364,3.578537912482614,0.46826412694349223,45-60,M,michael02,joshua21@example.org,Christopher Frank,M,31
104,AKX,2024-11-12,2025-03-12,120,Tuesday,721709,USD,61573,500004,266330,0.12314501483988129,4.325434849690611,0.53265573875409,25-35,F,heatherwatson,ozimmerman@example.com,Beverly Mcdowell,F,35
105,AKX,2024-06-30,2025-06-09,344,Sunday,176240,USD,38029,499997,119278,0.0760584563507381,3.13650109127245,0.23855743134458807,35-55,A,heatherwatson,ozimmerman@example.com,Beverly Mcdowell,F,35
106,KTR,2025-01-11,2025-05-29,138,Saturday,925421,USD,31197,499999,224336,0.06239412478824958,7.1909478475494435,0.4486728973457947,40-55,A,heatherwatson,ozimmerman@example.com,Beverly Mcdowell,F,35
107,AKX,2024-02-19,2026-01-06,687,Monday,95550,GBP,29027,500005,12258,0.05805341946580534,0.4222964825851793,0.024515754842451574,20-25,M,karengarcia,jeromewyatt@example.com,Misty Hodge,O,82
108,BYU,2025-06-05,2025-06-17,12,Thursday,274919,GBP,12545,499998,19339,0.025090100360401442,1.541570346751694,0.03867815471261885,30-45,F,karengarcia,jeromewyatt@example.com,Misty Hodge,O,82
109,AKX,2024-02-05,2025-02-22,383,Monday,637795,USD,17778,499996,509888,0.0355562844502756,28.68084148948138,1.0197841582732663,25-30,M,karengarcia,jeromewyatt@example.com,Misty Hodge,O,82
110,GRZ,2024-12-16,2025-10-18,306,Monday,951824,USD,14128,500001,428538,0.028255943488113024,30.33253114382786,0.8570742858514283,20-40,F,karengarcia,jeromewyatt@example.com,Misty Hodge,O,82
111,BYU,2024-04-07,2024-08-28,143,Sunday,905421,USD,42568,500001,331684,0.08513582972834054,7.7918624318737075,0.6633666732666534,40-50,F,karengarcia,jeromewyatt@example.com,Misty Hodge,O,82
112,KTR,2024-12-27,2025-08-26,242,Friday,908761,USD,51290,499999,196879,0.10258020516041032,3.838545525443556,0.39375878751757504,40-65,A,along,richard92@example.com,Shirley Hawkins,F,47
113,AKX,2023-12-10,2024-05-10,152,Sunday,769064,EUR,24248,499998,730917,0.04849619398477594,30.143393269548003,1.4618398473593894,20-35,A,along,richard92@example.com,Shirley Hawkins,F,47
114,AKX,2024-03-01,2024-10-10,223,Friday,953039,USD,23228,500000,9174,0.046456,0.39495436542104356,0.018348,25-40,M,along,richard92@example.com,Shirley Hawkins,F,47
115,BYU,2024-04-23,2024-06-26,64,Tuesday,979770,GBP,79501,500000,534361,0.159002,6.721437466195394,1.068722,30-40,A,along,richard92@example.com,Shirley Hawkins,F,47
116,BYU,2024-02-24,2025-11-19,634,Saturday,252821,EUR,49447,499999,197914,0.09889419778839557,4.002548182902906,0.39582879165758333,40-50,M,along,richard92@example.com,Shirley Hawkins,F,47
117,BYU,2024-03-27,2024-07-09,104,Wednesday,776063,USD,25201,500000,677621,0.050402,26.888655212094758,1.355242,20-40,M,crodriguez,brendaperry@example.net,Derek Day,M,90
118,GRZ,2024-03-03,2024-03-28,25,Sunday,253938,EUR,63398,500003,50579,0.12679523922856462,0.7978011924666393,0.10115739305564167,35-55,F,crodriguez,brendaperry@example.net,Derek Day,M,90
119,AKX,2025-01-09,2026-05-09,485,Thursday,886252,USD,38600,500000,625909,0.0772,16.21525906735751,1.251818,25-45,M,crodriguez,brendaperry@example.net,Derek Day,M,90
120,AKX,2024-05-21,2026-01-03,592,Tuesday,606458,USD,28875,500001,19604,0.057749884500231,0.6789264069264069,0.039207921584156834,30-40,A,crodriguez,brendaperry@example.net,Derek Day,M,90
121,BYU,2023-08-31,2023-12-02,93,Thursday,711979,USD,19466,500000,585867,0.038932,30.096938251309975,1.171734,45-70,A,stephanie97,pmcintosh@example.net,Kathryn Bell,F,35
122,GRZ,2023-10-18,2023-11-05,18,Wednesday,781772,EUR,35476,499999,736677,0.07095214190428381,20.765503438944638,1.4733569467138934,25-35,F,stephanie97,pmcintosh@example.net,Kathryn Bell,F,35
123,KTR,2024-12-03,2025-11-06,338,Tuesday,713108,EUR,30960,499998,404216,0.06192024768099073,13.05607235142119,0.808435233740935,30-35,F,stephanie97,pmcintosh@example.net,Kathryn Bell,F,35
124,KTR,2024-04-16,2025-01-07,266,Tuesday,148495,EUR,16491,499996,138361,0.032982263858110865,8.390091565096114,0.27672421379371037,25-30,A,huffmansteven,hectormartinez@example.com,Clayton Rios,O,87
125,KTR,2025-02-24,2026-11-02,616,Monday,158570,USD,22199,499999,9353,0.04439808879617759,0.4213252849227443,0.018706037412074824,40-50,A,huffmansteven,hectormartinez@example.com,Clayton Rios,O,87
126,AKX,2024-07-02,2025-02-02,215,Tuesday,357359,GBP,11237,499999,253167,0.022474044948089897,22.529767731600963,0.5063350126700253,45-70,F,huffmansteven,hectormartinez@example.com,Clayton Rios,O,87
127,KTR,2024-07-10,2024-08-13,34,Wednesday,764456,GBP,26610,499999,759962,0.05322010644021288,28.559263434798947,1.5199270398540796,45-60,M,huffmansteven,hectormartinez@example.com,Clayton Rios,O,87
128,KTR,2024-07-14,2025-08-16,398,Sunday,697147,GBP,22448,499996,298116,0.04489635917087337,13.280292230933714,0.5962367698941592,35-50,A,huffmansteven,hectormartinez@example.com,Clayton Rios,O,87
129,KTR,2024-12-12,2025-06-30,200,Thursday,820509,EUR,15426,499999,348144,0.03085206170412341,22.56865033061066,0.6962893925787852,40-55,F,huffmansteven,hectormartinez@example.com,Clayton Rios,O,87
130,KTR,2023-09-08,2025-03-16,555,Friday,469500,GBP,19024,500001,273908,0.038047923904152195,14.398023549201008,0.5478149043701913,40-50,A,sarah06,sarah30@example.com,Thomas Smith,M,19
131,BYU,2023-10-19,2025-02-09,479,Thursday,928854,GBP,27066,500002,303713,0.05413178347286611,11.221200029557378,0.6074235703057188,25-35,F,sarah06,sarah30@example.com,Thomas Smith,M,19
132,AKX,2023-11-25,2025-07-28,611,Saturday,274784,GBP,33043,499997,122136,0.06608639651837911,3.6962745513421904,0.24427346564079386,20-30,F,sarah06,sarah30@example.com,Thomas Smith,M,19
133,AKX,2025-05-18,2026-07-06,414,Sunday,620905,EUR,59975,499999,305627,0.1199502399004798,5.095906627761567,0.6112552225104451,30-55,F,sarah06,sarah30@example.com,Thomas Smith,M,19
134,KTR,2024-09-21,2026-07-30,677,Saturday,569621,GBP,56350,499999,426114,0.1127002254004508,7.561916592724046,0.8522297044594089,40-60,A,avelazquez,kwilliams@example.net,Richard Brewer,M,55
135,BYU,2025-02-23,2025-12-07,287,Sunday,962952,USD,36446,499997,689895,0.07289243735462413,18.92923777643637,1.3797982787896728,35-50,M,avelazquez,kwilliams@example.net,Richard Brewer,M,55
